Sujet;Sujet_name;;Cible;Cible_name;Material;Material_name;Slope;Slope_name;Trial;Trial_name;Trials_All;Duration;Amplitude;Impact_Speed;Spatial_Error
11;sujet11;C;2;50;2;balsa;3;p10;1;1;111;0.1;131.908386;2.87689871;18.03652377
11;sujet11;C;2;50;2;balsa;3;p10;2;2;112;0.116;110.0571746;2.398561525;-32.74775606
11;sujet11;C;2;50;2;balsa;3;p10;3;3;113;0.1;104.2023083;2.676496819;-9.913116929
11;sujet11;C;2;50;2;balsa;3;p10;4;4;114;0.128;97.59466175;2.227628392;-4.778012099
11;sujet11;C;2;50;2;balsa;3;p10;5;5;115;0.1;97.86687639;3.043929504;8.134019297
11;sujet11;C;2;50;2;balsa;3;p10;6;6;116;0.092;113.7963631;2.674515538;10.91681489
11;sujet11;C;2;50;2;balsa;3;p10;7;7;117;0.108;119.5134755;2.406823974;-22.2232757
11;sujet11;C;2;50;2;balsa;3;p10;8;8;118;0.12;108.4944482;2.742129817;14.37338001
11;sujet11;C;2;50;2;balsa;3;p10;9;9;119;0.092;98.91763874;2.45787057;1.092187024
11;sujet11;C;2;50;2;balsa;3;p10;10;10;120;0.092;101.8484322;2.429538382;-8.470692652
12;sujet12;C;1;25;1;alu;1;m10;1;1;1;0.184;68.53958284;1.227254462;-23.47428219
12;sujet12;C;1;25;1;alu;1;m10;2;2;2;0.124;54.91164507;1.583944508;6.037880296
12;sujet12;C;1;25;1;alu;1;m10;3;3;3;0.108;43.63462106;1.259217903;-42.36532996
12;sujet12;C;1;25;1;alu;1;m10;4;4;4;0.124;46.958335;1.196094834;-20.17717028
12;sujet12;C;1;25;1;alu;1;m10;5;5;5;0.176;66.95388339;1.738989981;3.119447268
12;sujet12;C;1;25;1;alu;1;m10;6;6;6;0.14;44.03621159;1.178220745;-33.00691423
12;sujet12;C;1;25;1;alu;1;m10;7;7;7;0.096;41.44221054;1.136898629;-13.62672955
12;sujet12;C;1;25;1;alu;1;m10;8;8;8;0.132;39.42817174;1.141492866;-24.78785124
12;sujet12;C;1;25;1;alu;1;m10;9;9;9;0.124;42.84115138;1.093599247;-14.84201306
12;sujet12;C;1;25;1;alu;1;m10;10;10;10;0.072;23.92598906;1.019532399;26.8584435
12;sujet12;C;1;25;1;alu;2;0;1;1;11;0.272;102.9031384;1.562678435;-32.5059996
12;sujet12;C;1;25;1;alu;2;0;2;2;12;0.172;100.3087001;1.479722919;-26.05005891
12;sujet12;C;1;25;1;alu;2;0;3;3;13;0.132;88.41775624;1.5358149;-12.56513069
12;sujet12;C;1;25;1;alu;2;0;4;4;14;0.16;83.95878407;1.589782387;6.196736689
12;sujet12;C;1;25;1;alu;2;0;5;5;15;0.148;66.53382077;1.26380804;7.888047388
12;sujet12;C;1;25;1;alu;2;0;6;6;16;0.188;82.88839353;1.371450087;5.524313306
12;sujet12;C;1;25;1;alu;2;0;7;7;17;0.144;77.35238846;1.334558213;-6.720178128
12;sujet12;C;1;25;1;alu;2;0;8;8;18;0.168;76.53441733;1.336776135;-21.57245097
12;sujet12;C;1;25;1;alu;2;0;9;9;19;0.172;95.52491501;1.623069508;12.09548233
12;sujet12;C;1;25;1;alu;2;0;10;10;20;0.144;71.83535744;1.80240737;4.954042577
12;sujet12;C;1;25;1;alu;3;p10;1;1;21;0.128;62.51339207;1.661196807;-46.68384051
12;sujet12;C;1;25;1;alu;3;p10;2;2;22;0.148;85.56753522;2.123358497;-0.50901529
