Sujet;ST_M;Target;Material;Slope;Trial;Duration;Amplitude;Impact_Speed
16;M;25;alu;m10;9;0,104;143,1714436;1,963712464
16;M;25;alu;m10;10;0,088;131,0492769;1,454841047
16;M;25;alu;p10;1;0,076;130,1747994;2,032158228
16;M;25;alu;p10;2;0,076;130,4299919;2,030805533
16;M;25;alu;p10;3;0,064;136,1618812;2,027452813
16;M;25;alu;p10;4;0,072;155,5884673;2,48698522
16;M;25;alu;p10;5;0,072;176,8432527;2,840361548
16;M;25;alu;p10;6;0,076;190,3325695;2,748694059
16;M;25;alu;p10;7;0,072;172,6513369;2,906327974
16;M;25;alu;p10;8;0,072;171,9058936;2,729635455
16;M;25;alu;p10;9;0,076;170,3188221;2,513182314
16;M;25;alu;p10;10;0,084;202,6289087;2,939708358
16;M;25;balsa;0;1;0,056;104,7142812;1,647637385
16;M;25;balsa;0;2;0,128;156,4196787;1,653370675
16;M;25;balsa;0;3;0,148;220,1212365;2,227443953
16;M;25;balsa;0;4;0,16;180,5598267;1,956647647
16;M;25;balsa;0;5;0,116;182,00651;1,842423576
16;M;25;balsa;0;6;0,116;199,1994377;2,125892466
16;M;25;balsa;0;7;0,124;189,7502012;1,923314728
16;M;25;balsa;0;8;0,12;230,4893138;2,879125632
16;M;25;balsa;0;9;0,108;186,8714737;2,053447659
16;M;25;balsa;0;10;0,092;165,1508451;2,460210789
16;M;25;balsa;m10;1;0,092;131,7193317;1,473602214
16;M;25;balsa;m10;2;0,084;118,9967517;1,469033106
16;M;25;balsa;m10;3;0,088;156,2238893;1,951621909
16;M;25;balsa;m10;4;0,108;159,5160445;1,819915885
16;M;25;balsa;m10;5;0,084;167,4017641;2,152123223
16;M;25;balsa;m10;6;0,076;141,6853938;1,856652243
16;M;25;balsa;m10;7;0,112;143,9111622;1,452458746
16;M;25;balsa;m10;8;0,092;145,4994825;2,233219179
16;M;25;balsa;m10;9;0,088;126,0017189;1,524979788
16;M;25;balsa;m10;10;0,08;129,783912;1,518011219
16;M;25;balsa;p10;1;0,092;158,5052744;1,947558199
16;M;25;balsa;p10;2;0,072;153,0901445;2,290935333
16;M;25;balsa;p10;3;0,092;187,3516557;1,927018245
16;M;25;balsa;p10;4;0,064;135,8245179;2,614143748
16;M;25;balsa;p10;5;0,076;138,3385204;1,960408446
16;M;25;balsa;p10;6;0,072;143,8854108;2,141437645
16;M;25;balsa;p10;7;0,096;165,357506;2,293521082
16;M;25;balsa;p10;8;0,068;158,8945867;2,831737695
16;M;25;balsa;p10;9;0,076;163,6005337;2,283661176
16;M;25;balsa;p10;10;0,084;181,1085902;2,378894609
16;M;50;alu;0;1;0,064;158,1301268;2,875991449
16;M;50;alu;0;2;0,068;143,7047112;2,319250932
